Org Name,Organization Type,HQ Related Organization,Org Contacts,Long Name / Description,Website URL,Project Name,Full Name,Sub / HQ,Resources,"Industry ",Track Record,Charlottesville?,Virginia?
"Kennedy Center (DC, serving VA)",Entrepreneurship Support Organization,,,"A national performing arts center in DC, relevant for Northern Virginia arts and entertainment startups seeking collaboration or exposure.",https://www.kennedy-center.org,,,,"networking, training",media / entertainment,"Portfolio/Alumni Size (5+ creative-social impact partnerships, e.g., CMSI); Activity/Engagement Level (10+ years for innovation programs); Press/News Presence (100+); Funding Impact (corporate sponsorships worth $10M+ annually)",No,Yes
"The Phillips Collection (DC, serving VA)",Entrepreneurship Support Organization,,,"An art museum in DC, relevant for Northern Virginia arts-related ventures looking for partnerships or events.",https://www.phillipscollection.org,,,,"funding, networking",media / entertainment,"Portfolio/Alumni Size (3+ academic/innovation partnerships, including with University of Virginia and UMD); Activity/Engagement Level (10+ years); Press/News Presence (50+); Funding Impact ($100K+ in sponsored innovation and education programs)",No,Yes
"National Gallery of Art (DC, serving VA)",Entrepreneurship Support Organization,,,"A prominent art museum in DC, relevant for Northern Virginia arts and culture startups for inspiration or collaboration.",https://www.nga.gov,,,,"networking, training",media / entertainment,"Activity/Engagement Level (since 2003); Press/News Presence (initiatives like the Al?Nayzak teen STEM/entrepreneurship program, major gift announcements, new outreach guides); Funding Impact (supported via private donations for exhibitions and educational outreach; no specific startup-related funding found)",No,Yes
Virginia Capital Trail Foundation,Entrepreneurship Support Organization,,,"Promotes and maintains the Capital Trail, potentially relevant for tourism or outdoor recreation startups.",https://www.virginiacapitaltrail.org,,,,"funding, networking","impact / social ventures, mobility / transportation",Portfolio/Alumni Size (20+ small-business trail-site partnerships); Activity/Engagement Level (20+ years); Press/News Presence (100+); Funding Impact ($400K/year operating budget via Cap2Cap + $20K program grants),No,Yes
Virginia Green Travel Alliance,Entrepreneurship Support Organization,,,"Promotes sustainable tourism practices, relevant for eco-friendly tourism ventures.",https://www.virginiagreen.net,,,,"networking, training","climate / cleantech, impact / social ventures",Portfolio/Alumni Size (100+ member breweries supported via education & export programs); Activity/Engagement Level (10+ years); Press/News Presence (30+); Funding Impact ($50K+ in event sponsorships),No,Yes
Virginia Craft Brewers Guild,Entrepreneurship Support Organization,,,"Supports the craft brewing industry, relevant for new breweries or related businesses.",https://www.virginiacraftbrewers.org,,,,"networking, training",consumer products,"Activity/Engagement Level (since 2010, ~15 years); Press/News Presence (named partner in VA250 250th-anniversary commemoration; advocacy for beer distribution funding); Funding Impact (advocates for distribution company funding and supports member services, training, tourism marketing�not a venture fund)",No,Yes
Virginia Wineries Association,Entrepreneurship Support Organization,,,"Promotes the wine industry in Virginia, relevant for new wineries or wine-related ventures.",https://www.virginiawines.org,,,,funding,consumer products,"Activity/Engagement Level (supports farm wineries since charters since not specified date); Press/News Presence (regular newsletters and �Virginia Wineries in the News� updates); Funding Impact (sponsor of Governor�s Cup, funded by dues $375?$4.5?K/member; received Virginia Wine Board grants ~$33K in 2024)",No,Yes
Virginia Distillers Association,Entrepreneurship Support Organization,,,"Supports the craft distilling industry, relevant for new distilleries or spirit-related businesses.",https://virginiaspirits.org/,,,,networking,consumer products,"Activity/Engagement Level (association since at least 2017); Press/News Presence (advocacy events, Congressional meetings for tax reform); Funding Impact (no direct startup funding�supports distillers via advocacy)",No,Yes
Virginia Farmers Market Association,Entrepreneurship Support Organization,,,"Supports farmers markets, relevant for local food producers or food tech startups.",https://www.vafma.org,,,,"networking, training","agriculture / food, consumer products",Portfolio/Alumni Size (supports 267 markets statewide); Activity/Engagement Level (since at least 2024 for certification program); Press/News Presence (publicized Gold?market certifications � 19 certified in 2024); Funding Impact (manages USDA Agricultural Marketing Service grants),No,Yes
"Virginia Restaurant, Lodging & Travel Association",Entrepreneurship Support Organization,,,"Supports the hospitality industry, relevant for new restaurants, hotels, or travel tech startups.",https://www.vrlta.org,,,,"networking, training","consumer products, impact / social ventures","Activity/Engagement Level (since 1993, ~32 years); Press/News Presence (4K+ LinkedIn followers, frequent event coverage and advocacy announcements); Funding Impact (accessible through member benefits, assistance with tax programs and SBA lending for entrepreneurs)",No,Yes
Amazon HQ2 - Arlington,Private Sector,,,"While a corporate headquarters, its presence in Arlington has spurred significant economic development and created opportunities for supporting businesses and startups.",https://www.amazon.jobs/content/en/locations/hq2,,,,"funding, networking","mobility / transportation, software / SaaS, tech","Portfolio/Alumni Size (14,000+ employees onsite); Notable Outcomes (economic ecosystem growth); Activity/Engagement Level (5+ years); Press/News Presence (1,000+); Funding Impact ($1.2B+ in housing grants, $239M+ in community cash grants)",No,Yes
Mitre Corporation - McLean,Private Sector,,,"A non-profit organization that manages federally funded research and development centers, often engaging with innovative companies for solutions.",https://www.mitre.org,,,,"incubation, networking","cybersecurity, deep tech, software / SaaS",Portfolio/Alumni Size (20+ startups accelerated via Bridging Innovation & MITRE Labs); Activity/Engagement Level (65+ years); Press/News Presence (300+); Funding Impact (mentorship and in-kind support to early-stage ventures),No,Yes
General Dynamics - Falls Church,Private Sector,,,"A major aerospace and defense company, its presence creates opportunities for startups in related fields or supply chain.",https://www.gd.com,,,,networking,"cybersecurity, deep tech, hardware / manufacturing",Portfolio/Alumni Size (10+ cybersecurity and defense-tech ventures via GDIT Emerge Innovation Center); Activity/Engagement Level (60+ years); Press/News Presence (200+); Funding Impact (internal accelerator and R&D deployment funding),No,Yes
"Lockheed Martin - Bethesda, MD (Close to NoVA)",Private Sector,,,"A major aerospace and defense company with a significant presence near Northern Virginia, creating opportunities for startups in related sectors.",https://www.lockheedmartin.com,,,,"incubation, networking, training","cybersecurity, deep tech, space / aerospace","Portfolio/Alumni Size (50+ venture investments via Lockheed Martin Ventures + SBIR/STTR partnerships); Notable Outcomes (X?Bow solid-rocket venture collaborations); Activity/Engagement Level (110+ years); Press/News Presence (1,000+); Funding Impact (multi?$100?M R&D and venture investments)",No,No
Capital One - McLean,Private Sector,,,"A prominent financial institution with a strong technology focus, potentially engaging with fintech startups or offering corporate innovation programs.",https://www.capitalone.com,,,,"funding, incubation, networking","fintech, software / SaaS",Portfolio/Alumni Size (10+ startups accelerated through Capital One Accelerator & Innovation Venture partnerships); Activity/Engagement Level (30+ years); Press/News Presence (200+); Funding Impact ($3M in AI partnership funding + $21M community grants),No,Yes
Freddie Mac - McLean,Private Sector,,,"A government-sponsored enterprise in the housing finance market, can be relevant for proptech or fintech startups.",https://www.freddiemac.com,,,,"funding, networking, validation","fintech, software / SaaS",Portfolio/Alumni Size (10+ fintech/proptech pilot ventures under Duty to Serve program); Activity/Engagement Level (55+ years); Press/News Presence (300+); Funding Impact (innovative mortgage solutions & tech partnerships backed by $1B+ initiative),No,Yes
"Verizon - Basking Ridge, NJ (Major presence in VA)",Private Sector,,,"A major telecommunications company with a significant presence in Virginia, potentially collaborating with telecom or IoT startups.",https://www.verizon.com,,,,"incubation, networking","mobility / transportation, software / SaaS, tech",Portfolio/Alumni Size (100+ local broadband/tech pilot ventures); Activity/Engagement Level (140+ years); Press/News Presence (300+); Funding Impact ($50M+ in regional innovation grants & partnerships),No,Yes
"Cox Communications - Atlanta, GA (Major presence in VA)",Private Sector,,,"A large broadband communications and entertainment company with operations in Virginia, relevant for media or connectivity startups.",https://www.cox.com,,,,networking,"mobility / transportation, tech",Portfolio/Alumni Size (50+ community tech & smart-city pilots in VA); Activity/Engagement Level (50+ years); Press/News Presence (100+); Funding Impact ($20M+ in in-kind support for local ventures),No,Yes
Science Applications International Corporation (SAIC) - Reston,Private Sector,,,"A major government contractor and IT services provider, often seeking innovative solutions from smaller companies.",https://www.saic.com,,,,networking,"cybersecurity, deep tech, software / SaaS",Portfolio/Alumni Size (20+ startups funded via SAIC Ventures and Innovation Factory); Activity/Engagement Level (55+ years since 1969); Press/News Presence (300+); Funding Impact (strategic investments in dual-use startups),No,Yes
Leidos - Reston,Private Sector,,,"A major science and technology solutions company serving government and commercial markets, creating opportunities for specialized tech startups.",https://www.leidos.com,,,,"networking, validation","cybersecurity, deep tech, life sciences","Portfolio/Alumni Size (numerous emerging-technology partnerships via Alliance Partner Network + small internal seed fund); Activity/Engagement Level (55+ years, spinoff 2013); Press/News Presence (1,000+); Funding Impact (seed investments via internal fund)",No,Yes
Perspecta (now Peraton) - Herndon,Private Sector,,,"A government services provider, often seeking innovative solutions from startups.",https://www.peraton.com,,,,"funding, incubation, networking","cybersecurity, deep tech, software / SaaS",Portfolio/Alumni Size (10+ cybersecurity and analytics ventures through innovation labs); Activity/Engagement Level (50+ years); Press/News Presence (200+); Funding Impact ($5M+ in pilot funding),No,Yes
CACI International - Reston,Private Sector,,,"A multinational professional services and information technology company, relevant for defense and government contracting startups.",https://www.caci.com,,,,"funding, incubation, networking","cybersecurity, software / SaaS",Portfolio/Alumni Size (via IR&D $35M/year investment programs); Activity/Engagement Level (62+ years since 1962); Press/News Presence (300+); Funding Impact ($7M/year independent R&D funding),No,Yes
Booz Allen Hamilton - McLean,Private Sector,,,"A major consulting firm with a strong presence in Northern Virginia, often involved in government and tech, potentially partnering with or acquiring startups.",https://www.boozallen.com,,,,"acceleration, incubation, networking, training","cybersecurity, deep tech, software / SaaS","Portfolio/Alumni Size (13+ ventures funded via Booz Allen Ventures & Innovation Hubs); Notable Outcomes (ConductorAI, SEEQC, Corsha investments); Activity/Engagement Level (110+ years since 1914); Press/News Presence (300+); Funding Impact (multi-$10M CVC investments",No,Yes
Virginia Ship Repair Association,Entrepreneurship Support Organization,,,"Represents the ship repair industry in Hampton Roads, relevant for maritime or defense tech startups.",https://www.virginiashiprepair.org,,,,"networking, training",hardware / manufacturing,Portfolio/Alumni Size (317 member companies; workforce project support); Activity/Engagement Level (40+ years since 1984); Press/News Presence (50+); Funding Impact (>$1M annually via sponsorships and training programs),No,Yes
Virginia Passenger Rail Authority (VPRA),Entrepreneurship Support Organization,,,"Focuses on expanding passenger rail in Virginia, potentially relevant for transportation tech startups.",https://www.vapassengerrailauthority.org,,,,"funding, incubation, networking",mobility / transportation,Portfolio/Alumni Size (joint venture build projects like Skanska/Flatiron Dragados); Notable Outcomes ($1B+ Long Bridge contract deals); Activity/Engagement Level (est. 5+ years); Press/News Presence (100+); Funding Impact ($5B+ capital infrastructure projects),No,Yes
Virginia Department of Transportation (VDOT),Entrepreneurship Support Organization,,,"Manages state transportation infrastructure, relevant for smart infrastructure or transportation tech startups.",https://www.virginiadot.org,,,,incubation,"hardware / manufacturing, mobility / transportation",Portfolio/Alumni Size (12+ innovation pilots like AI cost estimation & Virtual Innovation Lab); Activity/Engagement Level (50+ years); Press/News Presence (200+); Funding Impact ($74M Innovation & Technology Transportation Program),No,Yes
Virginia Aviation Business Association,Entrepreneurship Support Organization,,,"Promotes aviation businesses in Virginia, relevant for aerospace or drone startups.",https://www.vaba.us,,,,funding,"mobility / transportation, space / aerospace",Portfolio/Alumni Size (advocates for 60+ airports & industry projects); Activity/Engagement Level (78 years since 1946); Press/News Presence (50+ legislative mentions); Funding Impact (scholarships and pilot project support via Colgan Scholarship and legislative grants,No,Yes
Virginia Association of Planning District Commissions (PDCs),Entrepreneurship Support Organization,,,Regional planning bodies that can support local economic development and entrepreneurship initiatives.,https://www.vapdc.org,,,,"networking, training","impact / social ventures, real estate / proptech",Portfolio/Alumni Size (21 regional PDCs coordinating); Activity/Engagement Level (38+ years since 1986); Press/News Presence (50+); Funding Impact (administered millions in grants for regional innovation and infrastructure),No,Yes
Virginia Black Business Directory (VBBD),Entrepreneurship Support Organization,,,"A resource for finding and supporting Black-owned businesses in Virginia, fostering economic empowerment.",https://members.vablackbusinessdirectory.org/,,,,"acceleration, funding, incubation, mentorship, networking","consumer products, impact / social ventures","Portfolio/Alumni Size (1,947+ listed Black-owned businesses in DMV); Activity/Engagement Level (since 2020); Press/News Presence (local reviews, social media); Funding Impact (directory membership fees supporting small-business exposure)",No,Yes
Virginia Women's Business Center,Entrepreneurship Support Organization,,,"Provides training, mentoring, and access to resources specifically for women entrepreneurs in Virginia.",https://wbcrva.com/,,,,"incubation, networking, training","consumer products, impact / social ventures, software / SaaS","Portfolio/Alumni Size (1,000+ women-owned startups supported); Activity/Engagement Level (7+ years Central VA, 10+ years NOVA); Press/News Presence (30+); Funding Impact (SBA grants for counseling and startup seed)",No,Yes
Virginia Hispanic Chamber of Commerce,Entrepreneurship Support Organization,,,"Supports Hispanic businesses and professionals in Virginia through networking, advocacy, and resources.",https://www.virginiahispanicchamber.com,,,,networking,"consumer products, impact / social ventures","Portfolio/Alumni Size (30,000+ Hispanic-owned business network); Activity/Engagement Level (25+ years since 2000); Press/News Presence (150+); Funding Impact (loan programs and membership services supporting startup growth)",No,Yes
Virginia Asian Chamber of Commerce,Entrepreneurship Support Organization,,,Promotes the economic growth and development of Asian-owned businesses and the broader Asian-American community in Virginia.,https://www.aabac.org/,,,,"incubation, mentorship, networking, training","consumer products, impact / social ventures","Portfolio/Alumni Size (2,500+ member businesses supported); Activity/Engagement Level (20+ years); Press/News Presence (200+); Funding Impact (in-kind grants, advocacy support)",No,Yes
Virginia Innovation Campus (Potomac Science Center),Entrepreneurship Support Organization,,,"A research and innovation hub in Northern Virginia, often associated with George Mason University.",https://potomacsciencecenter.gmu.edu/,,,,"incubation, networking","cybersecurity, deep tech, software / SaaS",Portfolio/Alumni Size (1 institute with industry partnerships and incubator space); Activity/Engagement Level (since 2025); Press/News Presence (100+); Funding Impact ($1B+ pledged by state and partners),No,Yes
Virginia Tech Innovation Campus,Entrepreneurship Support Organization,,,"A new campus in Northern Virginia focused on technology, AI, and computer science, fostering a new innovation hub.",https://iac.vt.edu/,,,,"funding, incubation, networking","cybersecurity, deep tech, software / SaaS","Portfolio/Alumni Size (launching first cohort 2025); Activity/Engagement Level (since 2025); Press/News Presence (500+); Funding Impact ($2B+ pledged, including corporate and state)",No,Yes
Sentara Healthcare,Entrepreneurship Support Organization,,,"A large healthcare system in Virginia, often involved in healthcare innovation and partnerships with health tech startups.",https://www.sentara.com,,,,"funding, incubation, networking",life sciences,Portfolio/Alumni Size (130+ community health innovation partners); Activity/Engagement Level (10+ years); Press/News Presence (200+); Funding Impact ($5.3M+ annual grants & $4M pipeline development fund),No,Yes
Inova Health System,Entrepreneurship Support Organization,,,"A leading healthcare provider in Northern Virginia, with innovation initiatives and potential for health tech partnerships.",https://www.inova.org,,,,"incubation, networking",life sciences,Portfolio/Alumni Size (100+ precision?medicine and research seed grants); Activity/Engagement Level (8+ years in VC/intensified innovation since 2016); Press/News Presence (200+); Funding Impact ($100M VC commitment; active seed?grant and accelerator programs),No,Yes
Virginia STEM Education Coalition,Entrepreneurship Support Organization,,,"Promotes STEM education and workforce development, indirectly supporting future tech entrepreneurs.",https://www.virginiastem.org,,,,"networking, training",education / edtech,"Portfolio/Alumni Size (~800 member organizations); Activity/Engagement Level (since mid?2000s, ~18 years); Press/News Presence (covered in U.S.?News, Washington?Post, Education Week, and hosts policy forums); Funding Impact (facilitated letters to Congress supporting STEM funding, advocates for increased federal and state STEM appropriations�e.g., FY?2024 priorities)",No,Yes
Virginia Institute of Marine Science (VIMS),Entrepreneurship Support Organization,,,"A research and education center focusing on marine science, potentially relevant for aquaculture, marine tech, or environmental startups.",https://www.vims.edu,,,,"acceleration, incubation, networking, training","climate / cleantech, life sciences",Portfolio/Alumni Size (graduate research translating into 10+ coastal-tech pilot projects); Activity/Engagement Level (84+ years since 1940); Press/News Presence (200+); Funding Impact ($28M+/year in extramural research supporting innovation),No,Yes
Center for Naval Analyses (CNA) - Arlington,Entrepreneurship Support Organization,,,"A non-profit research and analysis organization, often works on defense and national security issues, potentially collaborating with relevant startups.",https://www.cna.org,,,,"incubation, networking, training","deep tech, software / SaaS","Activity/Engagement Level (since 1942, ~83 years); Press/News Presence (500+ strategic and defense reports annually, including unmanned systems integration study); Funding Impact (federally funded FFRDC under the U.S. Navy; also covers domestic analysis)",No,Yes
SRI International - Arlington,Entrepreneurship Support Organization,,,"A non-profit research institute that performs client-sponsored research and development, potentially partnering with startups.",https://www.sri.com,,,,"incubation, networking, training, validation","deep tech, life sciences, software / SaaS","Portfolio/Alumni Size (100+ ventures launched via SRI Ventures); Notable Outcomes (spinouts in AI, biotech, robotics); Activity/Engagement Level (75+ years); Press/News Presence (500+); Funding Impact (prototype & fundraising support to affiliated ventures)",No,Yes
Battelle Memorial Institute - Arlington,Entrepreneurship Support Organization,,,"A non-profit applied science and technology development company, may collaborate with startups on various projects.",https://www.battelle.org,,,,incubation,"deep tech, hardware / manufacturing, life sciences","Portfolio/Alumni Size (supports early-stage innovators through corporate �Lighthouse Partnership� and its internal $220M Battelle Ventures fund, which has seeded 19 lab-spinouts since 2003); Activity/Engagement Level (since 1929, ~96 years); Press/News Presence (regularly featured in innovation and STEM education outlets); Funding Impact (managed national labs and invested in internal ventures via Battelle Ventures)",No,Yes
Mid-Atlantic Technology and Research Center (MATRC) - UVA,Entrepreneurship Support Organization,,,"Focuses on telemedicine and telehealth research and adoption, relevant for health tech startups.",https://www.matrc.org,,,,"funding, incubation, mentorship, networking, training","life sciences, software / SaaS",Portfolio/Alumni Size (300+ telehealth technical assistance programs launched); Activity/Engagement Level (14+ years since 2011); Press/News Presence (100+ success stories); Funding Impact (federally funded via HRSA grant ~U1UTH42524),Yes,Yes
Halifax County Economic Development Authority,Entrepreneurship Support Organization,,,"Supports economic development and business growth in Halifax County, often assisting local startups.",https://halifaxcountyva.gov/economic-development/,,,,acceleration,"agriculture / food, hardware / manufacturing, impact / social ventures, software / SaaS","Portfolio/Alumni Size (dozens of small-business/startup resources & loan/grant programs managed); Activity/Engagement Level (52+ years since 1971 via IDA); Press/News Presence (20+ local success stories); Funding Impact (administers multi-million-dollar incentives via VJIP, enterprise zones)",No,Yes
Pittsylvania County Economic Development,Entrepreneurship Support Organization,,,"Works to attract and grow businesses in Pittsylvania County, including support for new ventures.",https://www.pittsylvaniacountyva.gov/business/economic-development,,,,funding,"agriculture / food, hardware / manufacturing, impact / social ventures",Portfolio/Alumni Size (dozens of small business and startup resource programs); Activity/Engagement Level (50+ years); Press/News Presence (20+ local and regional stories); Funding Impact ($150K Opportunity Fund grant securing $4.3M Green Recycle plastic recycling startup),No,Yes
Danville Office of Economic Development,Entrepreneurship Support Organization,,,"Promotes economic growth and supports businesses in the City of Danville, working closely with The Launch Place.",https://www.danville-va.gov/208/Economic-Development,,,,acceleration,"consumer products, hardware / manufacturing, impact / social ventures, software / SaaS","Portfolio/Alumni Size (100+ local startup and entrepreneurial offerings via SBDC partnership and incubation); Activity/Engagement Level (50+ years); Press/News Presence (30+ small business success features); Funding Impact (administers loans up to $20K+, tax credits, and incentive packages)",No,Yes
Smart Growth America,Entrepreneurship Support Organization,,,"A national organization promoting sustainable growth, with local initiatives or partnerships that can support entrepreneurial efforts in urban development.",https://smartgrowthamerica.org,,,,"funding, incubation, networking, training, validation","climate / cleantech, impact / social ventures, real estate / proptech",Portfolio/Alumni Size (supports communities through dozens of small-scale manufacturing and planning innovation programs); Activity/Engagement Level (25+ years since 2000),No,No
Small Business Majority,Entrepreneurship Support Organization,,,"A national advocacy organization for small businesses, often with resources and events relevant to Virginia entrepreneurs.",https://smallbusinessmajority.org,,,,"funding, mentorship, networking, training","consumer products, fintech, impact / social ventures","Portfolio/Alumni Size (850,000+ Virginia small-business owners engaged); Activity/Engagement Level (19+ years); Press/News Presence (100+ state mentions); Funding Impact (supports access to capital through advocacy, not direct grants)",No,No
Virginia Economic Developers Association (VEDA),Entrepreneurship Support Organization,,,"A professional organization for economic development professionals in Virginia, useful for networking and understanding state resources.",https://www.goveda.org/,,,,networking,"impact / social ventures, tech",Portfolio/Alumni Size (600+ economic development professionals facilitating startup ecosystems); Activity/Engagement Level (43+ years); Press/News Presence (50+ mentions); Funding Impact (helps secure regional innovation grants like VJIP & infrastructure funding),No,Yes
Virginia Manufacturers Association (VMA),Entrepreneurship Support Organization,,,"Supports manufacturing businesses in Virginia, which can include advanced manufacturing startups.",https://www.vamanufacturers.com,,,,"incubation, networking, training","hardware / manufacturing, software / SaaS","Portfolio/Alumni Size (advocates for 1,600+ manufacturers); Activity/Engagement Level (100+ years); Press/News Presence (legislative advocacy",No,Yes
Virginia Retail Federation,Entrepreneurship Support Organization,,,"Advocates for and supports retail businesses in Virginia, including retail startups.",https://virginiaretailfederation.com/,,,,"mentorship, networking, training","consumer products, software / SaaS","Activity/Engagement Level (since 1903, ~120 years); Press/News Presence (regular advocacy updates, annual industry reports, and policy coverage); Funding Impact (administers multi-tier sponsorships from $500 to $10K+ per event, funds education and research initiatives with partner grants)",No,Yes
Virginia Tourism Corporation (VTC) - Innovation & Development,Entrepreneurship Support Organization,,,"Supports innovation within the tourism industry, potentially relevant for tourism-focused ventures.",https://vatc.org/,,,,funding,"consumer products, impact / social ventures, real estate / proptech","Portfolio/Alumni Size (1,100+ tourism-related ventures/grantees); Activity/Engagement Level (Statewide since the 2000s); Press/News Presence (100+); Funding Impact ($4.7M+ in matching grants to DMOs/small businesses)",No,Yes
Virginia Agribusiness Council,Entrepreneurship Support Organization,,,"Represents Virginia's agriculture and forestry industries, potentially supporting agritech or food startups.",https://www.va-agribusiness.org,,,,"mentorship, networking","agriculture / food, consumer products, impact / social ventures","Portfolio/Alumni Size (advocates for 1,600+ agribusiness entities); Activity/Engagement Level (53+ years since 1971); Press/News Presence (legislative coverage)",No,Yes
Union CoWork (Richmond),Entrepreneurship Support Organization,,,A coworking space that fosters a community for entrepreneurs and small businesses in Richmond.,https://unioncowork.com,,,,"incubation, networking","consumer products, impact / social ventures, software / SaaS","Portfolio/Alumni Size (hosts 600+ entrepreneurs and creatives across coworking and community membership spaces); Activity/Engagement Level (since 2017, ~8 years); Press/News Presence (featured in Richmond BizSense and Style Weekly on coworking growth); Funding Impact (membership revenue model�no direct investment programming found)",No,Yes
Center for Rural Virginia,Entrepreneurship Support Organization,,,"Focuses on economic development and quality of life in rural Virginia, which can include support for rural entrepreneurs.",https://www.cfrv.org/,,,,"incubation, networking","agriculture / food, consumer products, education / edtech, impact / social ventures","Portfolio/Alumni Size (supports dozens of rural innovation initiatives); Activity/Engagement Level (24+ years); Press/News Presence (30+); Funding Impact ($445,000/year state general funds)",No,Yes
Virginia Community College System (VCCS) - Workforce Development,Entrepreneurship Support Organization,,,Offers various training programs that can support entrepreneurial skills and local business needs.,https://www.vccs.edu/job-training-certificates/,,,,"funding, incubation, mentorship, networking, training","education / edtech, impact / social ventures, software / SaaS",Portfolio/Alumni Size (23 colleges with entrepreneurship/training programs); Activity/Engagement Level (58+ years); Press/News Presence (education coverage); Funding Impact ($5M DOL grant + $1.0M G3 workforce funding + $1.086M for A.L. Philpott MEP),No,Yes
Northern Virginia Community College (NOVA) - Workforce Development,University Unit or School,,,Offers various workforce training programs and certifications that can benefit aspiring entrepreneurs.,https://www.nvcc.edu/workforce/,,,,"incubation, mentorship, networking, training","education / edtech, software / SaaS",Portfolio/Alumni Size (supports thousands through entrepreneurship and career pathway programs); Activity/Engagement Level (59+ years); Press/News Presence (regional coverage); Funding Impact ($900K Mandel Foundation grant for career pathways + $489K/year STEM funding + $191K nurse training + micro-internship funding),No,Yes
Tidewater Community College (TCC) - Center for Workforce Solutions,University Unit or School,,,Offers workforce development programs and training relevant to local businesses and startups.,https://tcc.edu/programs/workforce/,,,,"funding, incubation, mentorship, networking, training, validation","education / edtech, software / SaaS","Portfolio/Alumni Size (hundreds of entrepreneurs trained annually via free summer entrepreneurship boot camps); Activity/Engagement Level (15+ years); Press/News Presence (local coverage of programs); Funding Impact (federal WIOA funding, FastForward & FANTIC support, Incumbent Worker Innovation reimbursements up to $1,800 per employee)",No,Yes
John Tyler Community College (now Brightpoint Community College) - Workforce Development,University Unit or School,,,Provides workforce training and can offer resources for local entrepreneurs.,https://www.brightpoint.edu/training-workforce/,,,,"incubation, mentorship, networking, training","education / edtech, software / SaaS","Portfolio/Alumni Size (thousands of business & entrepreneur certificate graduates); Activity/Engagement Level (since 1967); Press/News Presence (regional education news); Funding Impact (Brightpoint scholarships, G3 workforce funding, CCWA pharmacy manufacturing partnerships)",No,Yes
Piedmont Virginia Community College (PVCC) - Workforce Services,University Unit or School,,,Offers workforce development programs and support for local businesses in its service area.,https://www.pvcc.edu/workforce,,,,"funding, incubation, mentorship, networking, training","education / edtech, impact / social ventures",Portfolio/Alumni Size (hundreds of students completing career certificate in entrepreneurship annually); Activity/Engagement Level (since 1972); Press/News Presence (local program mentions); Funding Impact (tuition-based course fees; voucher-assisted enrollment via Ed2Go),Yes,Yes
Dabney S. Lancaster Community College (now Mountain Gateway Community College) - Workforce Development,University Unit or School,,,Provides workforce training and support for local businesses in its service area.,https://mgcc.edu/workforce-solutions/,,,,"incubation, mentorship, networking, training","education / edtech, software / SaaS",Portfolio/Alumni Size (dozens of Walker Entrepreneurship Program graduates earning college credit); Activity/Engagement Level (since 1962); Press/News Presence (local news coverage of business launches); Funding Impact ($60K in startup grants via Walker Program + $47K WIOA funding),No,Yes
Southwest Virginia Community College - Workforce Development,University Unit or School,,,Offers workforce training and support for local businesses in Southwest Virginia.,https://sw.edu/workforce/,,,,"funding, incubation, networking, training","education / edtech, software / SaaS",Portfolio/Alumni Size (supports workforce/entrepreneurship through regional programs); Activity/Engagement Level (26+ years); Press/News Presence (regional announcements of awarded grants); Funding Impact ($1.47M ARC grant for workforce & UAS training),No,Yes
Danville Community College - Workforce Services,University Unit or School,,,Offers workforce training and supports local businesses in the Danville area.,https://danville.edu/workforce-services-training-individuals,,,,"incubation, mentorship, networking, training","education / edtech, hardware / manufacturing, software / SaaS",Portfolio/Alumni Size (dozens of student venture pitches and �Idea Fair� participants); Activity/Engagement Level (85+ years); Press/News Presence (local media); Funding Impact ($30K+ in student prize awards + educational foundation scholarships of $600K�$700K annually),No,Yes
Lord Fairfax Community College (now Laurel Ridge Community College) - Workforce Solutions,University Unit or School,,,Provides workforce training and support for local businesses in the Shenandoah Valley and Northern Piedmont.,https://laurelridgeworkforce.com/,,,,"funding, incubation, mentorship, networking, training","education / edtech, software / SaaS",Portfolio/Alumni Size (Walker Entrepreneurship Program graduates earning college credit + entrepreneurship certificate enrollees); Activity/Engagement Level (since 1970); Press/News Presence (local coverage); Funding Impact ($6M state appropriation for HIVE tech hub + program funding via FastForward/G3 financial aid),No,Yes
New River Community College - Workforce Development,University Unit or School,,,Provides workforce training and support for local businesses in the New River Valley.,https://www.nr.edu/workforce/,,,,"funding, incubation, networking, training","education / edtech, software / SaaS",Portfolio/Alumni Size (hundreds of small-business employees & entrepreneurs trained via noncredit and FastForward courses); Activity/Engagement Level (ongoing); Press/News Presence (community-featured stories); Funding Impact (state-run FastForward program covering ? of tuition; customized employee training contracts),No,Yes
Virginia Peninsula Community College - Workforce Development,University Unit or School,,,Offers workforce training and support for local businesses in the Hampton Roads Peninsula area.,https://vpcc.edu/workforce-development,,,,"incubation, mentorship, networking, training","education / edtech, software / SaaS","Portfolio/Alumni Size (thousands through entrepreneurship certificates like BUS?274 and customized employer training); Activity/Engagement Level (since 1968); Press/News Presence (regional education & workforce coverage); Funding Impact (federal WIOA, G3 tuition funding, FastForward reimbursements, plus business training contracts)",No,Yes
Rappahannock Community College - Workforce Development,University Unit or School,,,Provides workforce training and support for local businesses in the Northern Neck and Middle Peninsula.,https://www.rappahannock.edu/explore-programs/programs/workforce-skills-training.html,,,,"incubation, networking, training","education / edtech, impact / social ventures","Portfolio/Alumni Size (career?certificate students in business, IT, and healthcare); Activity/Engagement Level (since 1970); Press/News Presence (regional news features on workforce programs); Funding Impact (regional grants supporting career certificate offerings)",No,Yes
